time(sec),0,280,560,840,1120,1400,1680,1960,2240,2520
Temp.(C),12.8,13.3,14.1,14.3,14.7,14.9,15.6,16.1,16.2,15.4
,,,,,,,,,,
time(sec),2800,3080,3360,3640,3920,4200,4480,4760,5040,5320
Temp.(C),14.4,13.0,12.0,11.0,10.0,9.4,9.6,9.8,10.7,11.1
,,,,,,,,,,
time(sec),5600,5880,6160,6440,6720,7000,7280,7560,7840,8120
Temp.(C),12.1,12.2,13.1,13.5,14.2,14.6,14.5,15.1,15.4,16.0
,,,,,,,,,,
time(sec),8400,8680,8960,9240,9520,9800,10080,10360,10640,10920
Temp.(C),15.6,14.2,13.2,12.0,10.6,9.8,8.9,9.5,9.5,10.4
,,,,,,,,,,
time(sec),11200,11480,11760,12040,12320,12600,12880,13160,13440,13720
Temp.(C),10.7,11.7,12.2,12.4,13.1,14.0,14.3,14.5,15.0,15.6
